98,AS,ANC,SEA,N407AS,21,2018-12-13T18:54:00,-11,169,0
2336,AA,LAX,PBI,N3KUAA,12,2018-06-17T02:40:59,-8,263,0
840,US,SFO,CLT,N171US,16,2018-06-05T17:26:05,-2,266,0
258,AA,LAX,MIA,N3HYAA,15,2018-12-19T18:57:23,-5,258,0
135,AS,SEA,ANC,N527AS,11,2018-11-23T03:42:15,-1,199,0
806,DL,SFO,MSP,N3730B,18,2018-03-27T05:15:48,-5,206,1
612,NK,LAS,MSP,N635NK,11,2018-05-14T18:43:19,-6,154,0
2013,US,LAX,CLT,N584UW,13,2018-10-09T15:35:09,14,228,1
1112,AA,SFO,DFW,N3LAAA,17,2018-03-25T09:33:48,-11,173,0
1173,DL,LAS,ATL,N826DN,12,2018-02-21T11:01:08,3,186,0
2336,DL,DEN,ATL,N958DN,12,2018-12-09T08:56:58,-6,133,0
1674,AA,LAS,MIA,N853AA,21,2018-02-16T16:51:35,-8,238,1
1434,DL,LAX,MSP,N547US,18,2018-01-01T13:23:29,0,188,0
2324,DL,SLC,ATL,N3751B,18,2018-05-13T13:32:35,-6,176,0
2440,DL,SEA,MSP,N651DL,28,2018-02-26T07:46:27,-1,166,1
108,AS,ANC,SEA,N309AS,17,2018-10-15T14:32:06,-4,173,0
1560,DL,ANC,SEA,N3743H,25,2018-06-25T14:24:41,-14,171,0
1197,UA,SFO,IAH,N78448,11,2018-02-20T14:44:08,-6,199,0
122,AS,ANC,PDX,N413AS,11,2018-02-16T16:50:04,-4,187,0
1670,DL,PDX,MSP,N806DN,9,2018-09-27T10:31:09,-5,171,0
520,NK,LAS,MCI,N525NK,11,2018-05-31T21:22:09,25,128,0
371,AA,SEA,MIA,N3GXAA,30,2018-06-21T05:32:21,-8,311,0
214,NK,LAS,DFW,N632NK,13,2018-05-23T04:32:49,-1,128,0
115,AA,LAX,MIA,N3CTAA,14,2018-10-29T15:02:01,-2,255,0
1450,DL,LAS,MSP,N671DN,11,2018-11-13T19:15:46,-3,150,0
1545,UA,LAX,IAH,N76517,11,2018-01-17T13:57:12,-3,156,0
130,AS,FAI,SEA,N457AS,25,2018-04-02T15:32:02,-8,186,0
