4608,OO,PDX,SEA,N812SK,08,2018-04-10T23:22:55,05,43,0
5243,OO,PIA,DEN,N903SW,04,2018-08-07T18:05:12,-08,69,0
5439,OO,SFO,CEC,N292SW,05,2018-06-06T18:48:33,-10,100,0
1092,UA,FLL,EWR,N34455,01,2018-09-05T16:33:02,-04,21,0
651,B6,TPA,SJU,N663JB,11,2018-06-01T12:16:43,-07,85,0
1863,DL,DTW,MCO,N584NW,06,2018-11-03T18:40:31,07,47,0
4701,EV,EWR,CMH,N11150,12,2018-10-04T04:19:24,-10,55,0
1086,UA,DTW,IAH,N27733,15,2018-06-11T06:02:25,-03,132,1
675,NK,MCO,FLL,N621NK,06,2018-11-11T07:51:19,16,292,0
4883,EV,CAE,ATL,N916EV,05,2018-03-11T14:17:27,-07,149,0
5948,EV,AVP,ORD,N16151,10,2018-02-09T12:27:45,-06,355,0
1070,F9,ORD,ATL,N227FR,09,2018-04-04T16:01:33,65,83,0
2853,MQ,GSO,DFW,N906MQ,00,2018-05-10T08:41:10,00,23,1
118,HA,HNL,KOA,N477HA,06,2018-08-11T02:42:22,-09,65,0
2807,MQ,SGF,DFW,N604MQ,00,2018-10-05T13:57:14,00,107,0
1460,AA,DFW,PHX,N3FDAA,00,2018-11-03T14:52:09,00,31,0
2027,DL,LGA,MCO,N942DL,07,2018-01-02T23:04:56,09,263,0
769,F9,DEN,LAS,N934FR,05,2018-03-01T19:06:21,-02,54,0
5460,OO,RDD,SFO,N583SW,10,2018-04-21T07:41:48,13,89,0
6391,OO,EUG,DEN,N593ML,26,2018-04-08T11:15:29,-4,143,0
