98,AS,ANC,SEA,N407AS,21,2018-12-13T18:54:00,-11,169,0
2336,AA,LAX,PBI,N3KUAA,12,2018-06-17T02:40:59,-8,263,0
840,US,SFO,CLT,N171US,16,2018-06-05T17:26:05,-2,266,0
258,AA,LAX,MIA,N3HYAA,15,2018-12-19T18:57:23,-5,258,0
135,AS,SEA,ANC,N527AS,11,2018-11-23T03:42:15,-1,199,0
806,DL,SFO,MSP,N3730B,18,2018-03-27T05:15:48,-5,206,1
612,NK,LAS,MSP,N635NK,11,2018-05-14T18:43:19,-6,154,0
2013,US,LAX,CLT,N584UW,13,2018-10-09T15:35:09,14,228,1
1112,AA,SFO,DFW,N3LAAA,17,2018-03-25T09:33:48,-11,173,0
1173,DL,LAS,ATL,N826DN,12,2018-02-21T11:01:08,3,186,0
2336,DL,DEN,ATL,N958DN,12,2018-11-18T21:44:07,-6,133,0
1674,AA,LAS,MIA,N853AA,21,2018-03-29T18:29:06,-8,238,1
1434,DL,LAX,MSP,N547US,18,2018-09-04T13:14:06,0,188,0
2324,DL,SLC,MCI,N3751B,18,2018-05-26T00:00:30,-6,176,0
2440,DL,SEA,MIA,N651DL,28,2018-06-24T00:23:04,-1,166,1
108,AS,ANC,DFW,N309AS,1,2018-06-17T07:41:01,-4,173,0
1560,DL,ANC,MIA,N3743H,2,2018-10-12T07:13:58,-14,171,0
1197,UA,SFO,MSP,N78448,3,2018-05-26T01:20:08,-6,199,0
122,AS,ANC,IAH,N413AS,4,2018-11-05T14:48:03,-4,187,0
1670,DL,PDX,MSP,N806DN,5,2018-10-26T01:00:15,-5,171,0
520,NK,LAS,MCI,N525NK,6,2018-05-03T18:12:11,25,128,0
371,AA,SEA,MIA,N3GXAA,7,2018-09-29T02:43:46,-8,311,0
214,NK,LAS,DFW,N632NK,7,2018-12-09T23:17:57,-1,128,0
115,AA,LAX,MIA,N3CTAA,7,2018-08-25T03:31:55,-2,255,0
1450,DL,LAS,MSP,N671DN,7,2018-11-13T19:15:46,-3,150,0
1545,UA,LAX,IAH,N76517,7,2018-01-17T13:57:12,-3,156,0
298,NK,LAS,IAH,N514NK,10,2018-09-22T21:27:05,-4,148,1
